,DATUMVOLEB,OBVOD,CKAND,VSTRANA,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST,HLASY_K1,PROC_K1,URIZ_PR_K1,ZVOLEN_K1,LOS_K1,HLASY_K2,PROC_K2,URIZ_PR_K2,ZVOLEN_K2,LOS_K2,NAZEV_VS
3025,2020-06-05,32,1,1114,Bohumil,Ježek,Ing.,,43.0,"pedagog, člen zastupitelstva Ústeckého kraje",Ústí nad Labem,554804.0,1114.0,1114.0,A,765,4.87,4.87758224942616,0,0,0,0.0,0.0,0,0,Svoboda a přímá demokracie (SPD)
3026,2020-06-05,32,2,768,Zuzana,Schwarz Bařtipánová,Mgr.,,42.0,starostka města Bílina,Bílina,567451.0,768.0,768.0,A,1535,9.78,9.7870441213976,0,0,0,0.0,0.0,0,0,ANO 2011
3027,2020-06-05,32,3,137,Eugen Sigismund,Freimann,PhDr. ThDr. Mgr.,"Ph.D., M.A.",59.0,vysokoškolský pedagog,Teplice,567442.0,99.0,137.0,A,160,1.02,1.02014792144861,0,0,0,0.0,0.0,0,0,ROZUMNÍ-Petr Hannig-za spravedlnost a živ. jistoty
3028,2020-06-05,32,4,47,Oldřich,Bubeníček,,,67.0,"novinář, hejtman Ústeckého kraje",Bílina,567451.0,47.0,47.0,A,2567,16.36,16.36699821474113,0,0,0,0.0,0.0,0,0,Komunistická strana Čech a Moravy
3029,2020-06-05,32,5,53,Hynek,Hanza,Bc.,,42.0,primátor města Teplice,Teplice,567442.0,53.0,53.0,A,4663,29.73,29.73093598571792,2,0,5302,57.17,57.17058442958809,1,0,Občanská demokratická strana
3030,2020-06-05,32,6,166,Jana,Syslová,,,46.0,starostka,Hrobčice,567566.0,166.0,166.0,A,1055,6.72,6.72660035705177,0,0,0,0.0,0.0,0,0,STAROSTOVÉ A NEZÁVISLÍ
3031,2020-06-05,32,7,1441,Jan,Vondrouš,Bc.,,41.0,"politolog, soukromý lektor cizích jazyků",Bohušovice nad Ohří,564591.0,1209.0,1209.0,E,0,0.0,0.0,0,0,0,0.0,0.0,0,0,Koalice ČSNS a VIZE-NS
3032,2020-06-05,32,8,1227,Zdeněk,Pešek,Ing. Mgr.,MBA,60.0,ředitel Střední školy obchodu a služeb Teplice,Teplice,567442.0,1227.0,1227.0,A,551,3.51,3.51313440448865,0,0,0,0.0,0.0,0,0,Trikolóra hnutí občanů
3033,2020-06-05,32,9,1187,Zdeněk,Bergman,RNDr.,,60.0,ředitel gymnázia,Teplice,567442.0,99.0,1187.0,A,3475,22.15,22.15633766896199,2,0,3972,42.82,42.8294155704119,0,0,SENÁTOR 21
3034,2020-06-05,32,10,7,Zbyněk,Šimbera,Mgr.,,56.0,starosta,Duchcov,567515.0,7.0,7.0,A,913,5.82,5.82121907676613,0,0,0,0.0,0.0,0,0,Česká strana sociálně demokratická
3035,2020-06-05,32,11,720,Tomáš,Tožička,Mgr.,,53.0,"odborník na regionální rozvoj, boxer",Praha 3,500097.0,99.0,720.0,N,0,0.0,0.0,0,0,0,0.0,0.0,0,0,Česká pirátská strana
