,DATUMVOLEB,OBVOD,CKAND,VSTRANA,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST,HLASY_K1,PROC_K1,URIZ_PR_K1,ZVOLEN_K1,LOS_K1,HLASY_K2,PROC_K2,URIZ_PR_K2,ZVOLEN_K2,LOS_K2,NAZEV_VS
3015,2019-04-05,24,1,1114,Pavel,Pešan,Bc.,,44.0,živnostník,Praha 9,500216.0,1114.0,1114.0,A,563,2.93,2.93580852062366,0,0,0,0.0,0.0,0,0,Svoboda a přímá demokracie - Tomio Okamura (SPD)
3016,2019-04-05,24,2,210,Jan,Jarolím,Ing.,,72.0,starosta městské části Praha 9,Praha 9,500216.0,53.0,53.0,A,4651,24.25,24.25301141993012,2,0,4811,40.49,40.4932244760542,0,0,ODS a KDU-ČSL
3017,2019-04-05,24,3,759,Jiří,Koskuba,MUDr.,,63.0,primář interního oddělení Nemocnice Na Bulovce,Praha 9,500216.0,99.0,759.0,A,678,3.53,3.53548521666579,0,0,0,0.0,0.0,0,0,Česká Suverenita
3018,2019-04-05,24,4,785,Eva,Syková,Prof. MUDr.,DrSc.,74.0,vědecká pracovnice,Praha,1.0,99.0,785.0,A,380,1.98,1.98154038692183,0,0,0,0.0,0.0,0,0,PRO Zdraví a Sport
3019,2019-04-05,24,5,166,David,Smoljak,,,60.0,"radní MČ Praha-Vinoř, scenárista, publicista",Praha-Vinoř,539007.0,99.0,166.0,A,4514,23.53,23.53861396464514,2,0,7070,59.5,59.50677552394579,1,0,STAROSTOVÉ A NEZÁVISLÍ
3020,2019-04-05,24,6,768,Martin,Hrubčík,Mgr.,MBA,40.0,"bezpečnostní ředitel, pedagog",Praha 9,500216.0,768.0,768.0,A,2391,12.46,12.46806069771079,0,0,0,0.0,0.0,0,0,ANO 2011
3021,2019-04-05,24,7,721,Martin,Kroh,Mgr.,,52.0,předseda České společnosti pro rozvoj bydlení,Praha 9,500216.0,99.0,721.0,A,1392,7.25,7.25869531209261,0,0,0,0.0,0.0,0,0,TOP 09
3022,2019-04-05,24,8,1437,Petr,Daubner,Mgr.,,46.0,učitel,Praha,1.0,720.0,720.0,A,2674,13.94,13.943786827971,0,0,0,0.0,0.0,0,0,"Piráti s podporou Zelených, SEN21 a ČSSD"
3023,2019-04-05,24,9,1213,Libor,Michálek,Mgr.,MPA,50.0,ekonom,Chýně,539309.0,1213.0,1213.0,A,1127,5.87,5.87683162121291,0,0,0,0.0,0.0,0,0,VIZE pro Česko
3024,2019-04-05,24,10,47,Petr,Šimůnek,,,54.0,1. místopředseda ÚV KSČM,Praha 8,500208.0,47.0,47.0,A,807,4.2,4.2081660322261,0,0,0,0.0,0.0,0,0,Komunistická strana Čech a Moravy
