,DATUMVOLEB,OBVOD,CKAND,VSTRANA,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST,HLASY_K1,PROC_K1,URIZ_PR_K1,ZVOLEN_K1,LOS_K1,HLASY_K2,PROC_K2,URIZ_PR_K2,ZVOLEN_K2,LOS_K2,NAZEV_VS
3273,2022-09-23,1,1,80,Pavel,Petričko,,,71.0,zdravotní potřeby,Ostrov,555428.0,99.0,80.0,A,1376,4.26,4.26574076944539,0,0,0,0.0,0.0,0,0,Nezávislý kandidát
3274,2022-09-23,1,2,1114,Eva,Chromcová,Ing.,,45.0,operátor Zdravotnické záchranné služby - vedoucí směny,Karlovy Vary,554961.0,99.0,1114.0,A,4557,14.12,14.12716619648448,2,0,2791,32.02,32.02524383247274,0,0,Svoboda a přímá demokracie (SPD)
3275,2022-09-23,1,3,720,Bohdan,Vaněk,Ing.,M.A.,48.0,ekonomický analytik a projektový manažer,Karlovy Vary,554961.0,720.0,720.0,A,1838,5.69,5.6979880336051,0,0,0,0.0,0.0,0,0,Česká pirátská strana
3276,2022-09-23,1,4,1244,Bedřich,Šmudla,,,60.0,manažer,Sadov,555533.0,1244.0,1244.0,A,524,1.62,1.62445360696902,0,0,0,0.0,0.0,0,0,Hnutí PES
3277,2022-09-23,1,5,768,Věra,Procházková,MUDr.,,68.0,"bývalá poslankyně, lékařka Zdravotnické záchranné služby Karlovarského kraje",Karlovy Vary,554961.0,768.0,768.0,A,8343,25.86,25.86415351706606,2,0,5924,67.97,67.97475616752725,1,0,ANO 2011
3278,2022-09-23,1,6,182,Petr,Kulhánek,Ing.,,51.0,hejtman kraje,Karlovy Vary,554961.0,182.0,182.0,A,3972,12.31,12.31360634900951,0,0,0,0.0,0.0,0,0,Karlovarská občanská alternativa
3279,2022-09-23,1,7,715,Jan,Havel,Ing.,,65.0,"úředník, vedoucí ubytovacího zařízení",Stanovice,555550.0,99.0,715.0,A,269,0.83,0.83392751960814,0,0,0,0.0,0.0,0,0,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT
3280,2022-09-23,1,8,1270,Petr,Ajšman,,,46.0,"OSVČ, jednatel společnosti",Karlovy Vary,554961.0,1270.0,1270.0,A,693,2.14,2.14837089623957,0,0,0,0.0,0.0,0,0,SRDCEM PRO ...
3281,2022-09-23,1,9,1118,Martin,Maleček,,,50.0,starosta,Hroznětín,555185.0,99.0,1118.0,A,4226,13.1,13.10103233406702,0,0,0,0.0,0.0,0,0,Volba pro kraj
3282,2022-09-23,1,10,1327,Václav,Slavík,Mgr. Bc.,,48.0,starosta města,Žlutice,555762.0,1.0,1.0,A,2482,7.69,7.69445391697926,0,0,0,0.0,0.0,0,0,SPOLU (ODS + KDU-ČSL + TOP 09)
3283,2022-09-23,1,11,166,Jan,Horník,Ing.,,68.0,starosta Božího Daru a senátor,Boží Dar,506486.0,166.0,166.0,A,3977,12.32,12.32910686052639,0,0,0,0.0,0.0,0,0,STAROSTOVÉ A NEZÁVISLÍ
3284,2022-09-23,4,1,143,Alena,Dernerová,MUDr.,,64.0,dětská lékařka - neuroložka,Most,567027.0,99.0,143.0,A,8608,31.36,31.36111920722821,2,0,4729,41.2,41.20773788776577,0,0,Spojení demokraté - Sdružení nezávislých
