,DATUMVOLEB,OBVOD,CKAND,VSTRANA,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST,HLASY_K1,PROC_K1,URIZ_PR_K1,ZVOLEN_K1,LOS_K1,HLASY_K2,PROC_K2,URIZ_PR_K2,ZVOLEN_K2,LOS_K2,NAZEV_VS
1558,2007-04-13,5,1,53,Jan,Řehák,Ing.,,45.0,1. nám. prim. města Chomutova,Chomutov,562971.0,53.0,53.0,A,2760,25.41,25.41436464088397,2,0,4338,44.67,44.67099165894346,0,0,Občanská demokratická strana
1559,2007-04-13,5,2,7,Jan,Mareš,Mgr.,,48.0,ředitel střední školy,Chomutov,562971.0,7.0,7.0,A,2510,23.11,23.11233885819521,0,0,0,0.0,0.0,0,0,Česká strana sociálně demokratická
1560,2007-04-13,5,3,80,Milan,Doležal,Bc.,,56.0,ředitel,Klášterec nad Ohří,563129.0,99.0,80.0,A,499,4.59,4.59484346224677,0,0,0,0.0,0.0,0,0,Nezávislí kandidáti
1561,2007-04-13,5,4,47,Václav,Homolka,PaedDr.,,52.0,ředitel kulturního domu,Klášterec nad Ohří,563129.0,47.0,47.0,A,2529,23.28,23.28729281767955,2,0,5373,55.32,55.32900834105653,1,0,Komunistická strana Čech a Moravy
1562,2007-04-13,5,5,100,Zdeněk,Jánský,,,50.0,podnikatel (j.a sp.sp.s r.o.),Chomutov,562971.0,99.0,100.0,A,89,0.81,0.8195211786372,0,0,0,0.0,0.0,0,0,Humanistická strana
1563,2007-04-13,5,6,5,Josef,Märc,Mgr.,,43.0,učitel,Chomutov,562971.0,99.0,5.0,A,1101,10.13,10.13812154696132,0,0,0,0.0,0.0,0,0,Strana zelených
1564,2007-04-13,5,7,80,Antonín,Drbohlav,,,47.0,jednatel společnosti,Dobrá Voda,595489.0,99.0,80.0,A,396,3.64,3.646408839779,0,0,0,0.0,0.0,0,0,Nezávislí kandidáti
1565,2007-04-13,5,8,88,Milan,Beran,,,58.0,podnikatel,Černovice,563021.0,88.0,88.0,A,875,8.05,8.05709023941068,0,0,0,0.0,0.0,0,0,NEZÁVISLÍ
1566,2007-04-13,5,9,155,František,Lehotský,,,55.0,technik,Chomutov,562971.0,99.0,155.0,A,101,0.93,0.93001841620626,0,0,0,0.0,0.0,0,0,SVOBODNÍ
