,DATUMVOLEB,OBVOD,CKAND,VSTRANA,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST,HLASY_K1,PROC_K1,URIZ_PR_K1,ZVOLEN_K1,LOS_K1,HLASY_K2,PROC_K2,URIZ_PR_K2,ZVOLEN_K2,LOS_K2,NAZEV_VS
1116,2004-10-08,20,1,314,Jan,Vávra,,,50.0,novinář,Praha 5,500143.0,99.0,143.0,A,2176,12.35,12.35240690281562,0,0,0,0.0,0.0,0,0,Unie Prahy 4
1117,2004-10-08,20,2,141,Petr,Švec,,,40.0,úředník,Praha 10,500224.0,141.0,141.0,A,97,0.55,0.5506357856494,0,0,0,0.0,0.0,0,0,Národní sjednocení
1118,2004-10-08,20,3,47,Karel,Skoupil,,,51.0,úředník,Praha 4,500119.0,47.0,47.0,A,2023,11.48,11.48387829246139,0,0,0,0.0,0.0,0,0,Komunistická strana Čech a Moravy
1119,2004-10-08,20,4,137,Vladimír,Němec,,,56.0,živnostník,Praha,1.0,137.0,137.0,A,251,1.42,1.42484105358764,0,0,0,0.0,0.0,0,0,Strana zdravého rozumu
1120,2004-10-08,20,5,53,František,Příhoda,,,57.0,drobný podnikatel,Praha 4,500119.0,53.0,53.0,A,6663,37.82,37.82356948228882,2,0,8078,60.12,60.12206013694551,1,0,Občanská demokratická strana
1121,2004-10-08,20,6,7,Erazim,Kohák,Prof.,PhD.,71.0,vysokoškolský pedagog,Praha 4,500119.0,7.0,7.0,A,3547,20.13,20.13510445049954,2,0,5358,39.87,39.87793986305448,0,0,Česká strana sociálně demokratická
1122,2004-10-08,20,7,138,Tomáš,Ježek,Doc. ing.,,64.0,"ekonom, vysokoškolský pedagog",Praha,1.0,99.0,138.0,A,2859,16.22,16.22956403269754,0,0,0,0.0,0.0,0,0,Liberální reformní strana
1123,2004-10-08,54,1,53,Jaroslav M.,Pařík,,,63.0,viceprezident a.s.Delta Pekárn,Židlochovice,584282.0,99.0,53.0,A,5161,29.32,29.32219760240895,2,0,5896,46.68,46.68250197941409,0,0,Občanská demokratická strana
1124,2004-10-08,54,2,1,Milan,Špaček,MUDr.,,52.0,lékař,Znojmo,593711.0,1.0,1.0,A,4995,28.37,28.37906937105846,2,0,6734,53.31,53.3174980205859,1,0,Křesťan.a demokrat.unie-Českosl.strana lidová
1125,2004-10-08,54,3,102,Anna,Gigimovová,Mgr.,,60.0,starostka,Vedrovice,595047.0,99.0,102.0,A,1054,5.98,5.98829611953866,0,0,0,0.0,0.0,0,0,Unie svobody - Demokratická unie
1126,2004-10-08,54,4,47,Augustin,Forman,Ing.,,58.0,starosta města,Miroslav,594458.0,99.0,47.0,A,4735,26.9,26.90188057496733,0,0,0,0.0,0.0,0,0,Komunistická strana Čech a Moravy
1127,2004-10-08,54,5,7,Jindřich,Laky,,,48.0,prodavač,Znojmo,593711.0,99.0,7.0,A,1656,9.4,9.40855633202658,0,0,0,0.0,0.0,0,0,Česká strana sociálně demokratická
