,DATUMVOLEB,OBVOD,CKAND,VSTRANA,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST,HLASY_K1,PROC_K1,URIZ_PR_K1,ZVOLEN_K1,LOS_K1,HLASY_K2,PROC_K2,URIZ_PR_K2,ZVOLEN_K2,LOS_K2,NAZEV_VS
2006,2011-03-18,30,1,714,Milan,Vodička,Ing.,CSc.,61.0,soudní znalec,Říčany,538728.0,714.0,714.0,A,191,0.69,0.69953120421916,0,0,0,0.0,0.0,0,0,Strana svobodných občanů
2007,2011-03-18,30,2,47,Zdeněk,Levý,,,59.0,starosta obce Drnek,Drnek,512991.0,47.0,47.0,A,2435,8.91,8.91810723703486,0,0,0,0.0,0.0,0,0,Komunistická strana Čech a Moravy
2008,2011-03-18,30,3,696,Karel,Protiva,MUDr.,,59.0,praktický zubní lékař,Kladno,532053.0,40.0,718.0,A,571,2.09,2.09126867858189,0,0,0,0.0,0.0,0,0,Lepší Kladno
2009,2011-03-18,30,4,720,Ivo,Vašíček,PaedDr.,,49.0,krizový manažer,Praha 4,500119.0,720.0,720.0,A,205,0.75,0.75080574274831,0,0,0,0.0,0.0,0,0,Česká pirátská strana
2010,2011-03-18,30,5,759,Jana,Bobošíková,Ing.,,46.0,"ekonomka, VŠ učitelka",Praha 10,500224.0,759.0,759.0,A,1993,7.29,7.29929680632874,0,0,0,0.0,0.0,0,0,SUVERENITA - Blok Jany Bobošíkové
2011,2011-03-18,30,6,7,Jiří,Dienstbier,Mgr.,,41.0,právník,Praha 2,500089.0,7.0,7.0,A,12088,44.27,44.27190155288602,2,0,13505,65.14,65.14084507042253,1,0,Česká strana sociálně demokratická
2012,2011-03-18,30,7,53,Dan,Jiránek,Ing.,,47.0,primátor,Kladno,532053.0,53.0,53.0,A,7422,27.18,27.1828303545268,2,0,7227,34.85,34.85915492957746,0,0,Občanská demokratická strana
2013,2011-03-18,30,8,697,Luděk,Kvapil,,,62.0,starosta-autor Kmetiněv. výzvy,Kmetiněves,532479.0,99.0,166.0,A,2053,7.51,7.51904482859654,0,0,0,0.0,0.0,0,0,"""STAROSTOVÉ A NEZÁVISLÍ"" s podporou TOP 09"
2014,2011-03-18,30,9,1,Miroslav,Rovenský,Mgr.,,46.0,učitel,Mnichovice,538493.0,1.0,1.0,A,346,1.26,1.26721359507764,0,0,0,0.0,0.0,0,0,Křesťan.a demokrat.unie-Českosl.strana lidová
2015,2011-03-18,30,10,80,Miloslava,Chalupová,,,48.0,uchazeč o zaměstnání,Kladno,532053.0,99.0,80.0,E,0,0.0,0.0,0,0,0,0.0,0.0,0,0,Nezávislí kandidáti
