,DATUMVOLEB,OBVOD,CKAND,VSTRANA,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST,HLASY_K1,PROC_K1,URIZ_PR_K1,ZVOLEN_K1,LOS_K1,HLASY_K2,PROC_K2,URIZ_PR_K2,ZVOLEN_K2,LOS_K2,NAZEV_VS
2016,2012-10-12,2,1,724,Jaroslav,Bradáč,Ing.,,57.0,uvolněný člen Rady Karl. kraje,Skalná,554812.0,724.0,724.0,A,1061,4.87,4.87121803406638,0,0,0,0.0,0.0,0,0,Strana Práv Občanů ZEMANOVCI
2017,2012-10-12,2,2,80,Jiří,Korbel,,,43.0,prac.v rotač.syst.gastronomie,Sokolov,560286.0,99.0,80.0,E,0,0.0,0.0,0,0,0,0.0,0.0,0,0,Nezávislí kandidáti
2018,2012-10-12,2,3,7,Zdeněk,Berka,Ing.,,61.0,starosta města Sokolov,Sokolov,560286.0,7.0,7.0,A,6364,29.21,29.21812588953675,2,0,5373,56.68,56.68319442979217,1,0,Česká strana sociálně demokratická
2019,2012-10-12,2,4,659,Petr,Zahradníček,Mgr.,,48.0,"OSVČ- novinář, hudebník",Loket,560537.0,721.0,721.0,A,2043,9.37,9.3797346311005,0,0,0,0.0,0.0,0,0,"Koalice ""STAN"" a TOP 09"
2020,2012-10-12,2,5,53,Karel,Jakobec,Ing.,,48.0,místostarosta města Sokolov,Sokolov,560286.0,53.0,53.0,A,3615,16.59,16.59703411229971,0,0,0,0.0,0.0,0,0,Občanská demokratická strana
2021,2012-10-12,2,6,714,Jiří,Pánek,Ing.,,49.0,"geodézie, zeměměřický inženýr",Sokolov,560286.0,714.0,714.0,A,2109,9.68,9.68275102153252,0,0,0,0.0,0.0,0,0,Strana svobodných občanů
2022,2012-10-12,2,7,764,David,Cervan,Ing.,Ph.D.,42.0,středoškolský učitel,Nové Sedlo,560570.0,764.0,764.0,A,843,3.87,3.87034571415453,0,0,0,0.0,0.0,0,0,Národní socialisté - levice 21. století
2023,2012-10-12,2,8,47,Jiří,Holan,Mgr.,,69.0,důchodce,Rotava,560600.0,47.0,47.0,A,4688,21.52,21.52334603553555,2,0,4106,43.31,43.31680557020782,0,0,Komunistická strana Čech a Moravy
2024,2012-10-12,2,9,144,Věra,Ježková,Ing.,,57.0,báňská inženýrka,Karlovy Vary,554961.0,99.0,144.0,A,1058,4.85,4.85744456177402,0,0,0,0.0,0.0,0,0,Věci veřejné
2025,2012-10-12,5,1,197,Marie,Kindermannová,PaedDr.,,64.0,spec.pedagog-etoped,Chomutov,562971.0,197.0,197.0,A,1545,5.58,5.58326105810928,0,0,0,0.0,0.0,0,0,NESPOKOJENÍ OBČANÉ!
2026,2012-10-12,5,2,768,Milada,Benešová,,,45.0,podnikatelka,Jirkov,563099.0,99.0,768.0,A,1923,6.94,6.94926279271465,0,0,0,0.0,0.0,0,0,ANO 2011
2027,2012-10-12,5,3,759,Václav,Netolický,PaedDr.,,62.0,Vysokoškolský pedagog,Vejprty,563404.0,99.0,759.0,A,833,3.01,3.01026308181555,0,0,0,0.0,0.0,0,0,SUVERENITA - Blok Jany Bobošíkové
2028,2012-10-12,5,4,659,Josef,Mašek,MUDr.,,59.0,lékař,Kadaň,563102.0,99.0,721.0,A,1711,6.18,6.18314541775079,0,0,0,0.0,0.0,0,0,"Koalice ""STAN"" a TOP 09"
2029,2012-10-12,5,5,716,Bedřich,Suldovský,,,76.0,živnostník,Postoloprty,566624.0,716.0,716.0,A,146,0.52,0.52760913558832,0,0,0,0.0,0.0,0,0,Strana soukromníků České republiky
2030,2012-10-12,5,6,764,Jiří,Cinger,,,50.0,předseda krajské rady odborů,Klášterec nad Ohří,563129.0,99.0,764.0,A,530,1.91,1.91529343740965,0,0,0,0.0,0.0,0,0,Národní socialisté - levice 21. století
2031,2012-10-12,5,7,704,Jan,Micka,PaedDr.,,52.0,učitel,Chomutov,562971.0,704.0,704.0,A,2524,9.12,9.12113327551315,0,0,0,0.0,0.0,0,0,Severočeši.cz
2032,2012-10-12,5,8,7,Rudolf,Kozák,Ing.,,48.0,manager,Chomutov,562971.0,7.0,7.0,A,4646,16.78,16.78953454755709,2,0,4740,40.37,40.37822642473805,0,0,Česká strana sociálně demokratická
2033,2012-10-12,5,9,47,Václav,Homolka,PaedDr.,,57.0,senátor PČR,Klášterec nad Ohří,563129.0,47.0,47.0,A,6815,24.62,24.62778259612604,2,0,6999,59.62,59.62177357526194,1,0,Komunistická strana Čech a Moravy
2034,2012-10-12,5,10,599,Přemysl,Rabas,MVDr.,,49.0,Poradce pro zoologické zahrady,Chomutov,562971.0,5.0,5.0,A,4503,16.27,16.27276669557675,0,0,0,0.0,0.0,0,0,"Koalice KDU-ČSL, SZ, HNHRM"
2035,2012-10-12,5,11,144,Josef,Suchý,,,40.0,podnikatel,Klášterec nad Ohří,563129.0,144.0,144.0,A,388,1.4,1.40213934663197,0,0,0,0.0,0.0,0,0,Věci veřejné
2036,2012-10-12,5,12,53,Jiří,Binter,MUDr.,,58.0,lékař,Chomutov,562971.0,53.0,53.0,A,2108,7.61,7.6178086152067,0,0,0,0.0,0.0,0,0,Občanská demokratická strana
2037,2012-10-12,8,1,716,Rostislav,Senjuk,JUDr.Ing.,,49.0,"právník,ekonom",Plzeň,2.0,716.0,716.0,A,1941,5.47,5.47578074308121,0,0,0,0.0,0.0,0,0,Strana soukromníků České republiky
2038,2012-10-12,8,2,659,Jaroslav,Lobkowicz,Ing.,,70.0,zemědělec,Plzeň,2.0,721.0,721.0,A,4619,13.03,13.03072192287076,0,0,0,0.0,0.0,0,0,"Koalice ""STAN"" a TOP 09"
2039,2012-10-12,8,3,53,Luděk,Sefzig,MUDr.,,55.0,lékař,Rokycany,559717.0,53.0,53.0,A,7549,21.29,21.29658363190114,0,0,0,0.0,0.0,0,0,Občanská demokratická strana
2040,2012-10-12,8,4,7,Milada,Emmerová,Doc.MUDr.,CSc.,67.0,lékařka,Plzeň,2.0,7.0,7.0,A,9746,27.49,27.49456935706829,2,0,8399,54.79,54.79514613778705,1,0,Česká strana sociálně demokratická
2041,2012-10-12,8,5,47,Jiří,Valenta,PhDr.Ing.Mgr.etMgr.,,46.0,pedagogický pracovník,Plzeň,2.0,47.0,47.0,A,8830,24.91,24.91042965554207,2,0,6929,45.2,45.20485386221294,0,0,Komunistická strana Čech a Moravy
2042,2012-10-12,8,6,764,Jiří,Janoušek,Ing.,,49.0,lesní inženýr,Měcholupy,539716.0,764.0,764.0,A,723,2.03,2.0396648517505,0,0,0,0.0,0.0,0,0,Národní socialisté - levice 21. století
2043,2012-10-12,8,7,129,Stanislav,Rampas,Ing.,,58.0,technik,Ejpovice,559792.0,129.0,129.0,A,2039,5.75,5.75224983778599,0,0,0,0.0,0.0,0,0,SNK Evropští demokraté
