,DATUMVOLEB,OBVOD,CKAND,VSTRANA,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST,HLASY_K1,PROC_K1,URIZ_PR_K1,ZVOLEN_K1,LOS_K1,HLASY_K2,PROC_K2,URIZ_PR_K2,ZVOLEN_K2,LOS_K2,NAZEV_VS
1108,2003-11-07,58,1,1,Rostislav,Slavotínek,Ing.,,59.0,1.náměstek primátora,Brno,3.0,1.0,1.0,A,2822,18.37,18.37478838390415,2,0,4740,49.88,49.88948531733501,0,0,Křesťan.a demokrat.unie-Českosl.strana lidová
1109,2003-11-07,58,2,7,Marie,Součková,MUDr.,,50.0,lékařka,Brno,3.0,7.0,7.0,A,1155,7.52,7.52051048313582,0,0,0,0.0,0.0,0,0,Česká strana sociálně demokratická
1110,2003-11-07,58,3,138,Jiří,Löw,Doc. ing. arch.,,55.0,krajinný architekt,Brno,3.0,99.0,138.0,A,1952,12.7,12.70998827972392,0,0,0,0.0,0.0,0,0,Liberální reformní strana
1111,2003-11-07,58,4,80,Ivo,Moll,,,52.0,odborný asistent,Brno,3.0,99.0,80.0,E,0,0.0,0.0,0,0,0,0.0,0.0,0,0,Nezávislí kandidáti
1112,2003-11-07,58,5,98,Petr,Cibulka,,,53.0,nezávislý novinář,Praha,1.0,98.0,98.0,A,2043,13.3,13.30251334809219,0,0,0,0.0,0.0,0,0,Pravý Blok
1113,2003-11-07,58,6,53,Karel,Jarůšek,,,50.0,sportovní ředitel,Brno,3.0,53.0,53.0,A,4858,31.63,31.6317228805834,2,0,4761,50.11,50.11051468266498,1,0,Občanská demokratická strana
1114,2003-11-07,58,7,47,Daniel,Borecký,RNDr.,CSc.,50.0,VŠ učitel,Brno,3.0,47.0,47.0,A,2267,14.76,14.76103659330642,0,0,0,0.0,0.0,0,0,Komunistická strana Čech a Moravy
1115,2003-11-07,58,8,88,Jiří,Vachek,Ing.,,62.0,důchodce,Brno,3.0,88.0,88.0,A,261,1.69,1.69944003125406,0,0,0,0.0,0.0,0,0,NEZÁVISLÍ
