,DATUMVOLEB,OBVOD,CKAND,VSTRANA,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST,HLASY_K1,PROC_K1,URIZ_PR_K1,ZVOLEN_K1,LOS_K1,HLASY_K2,PROC_K2,URIZ_PR_K2,ZVOLEN_K2,LOS_K2,NAZEV_VS
2517,2016-10-07,1,1,7,Pavel,Čekan,Bc.,,55.0,starosta města,Ostrov,555428.0,7.0,7.0,A,4084,14.85,14.85252936684001,0,0,0,0.0,0.0,0,0,Česká strana sociálně demokratická
2518,2016-10-07,1,2,47,Věra,Bartůňková,,,55.0,asistentka ředitele,Karlovy Vary,554961.0,99.0,47.0,A,2738,9.95,9.95744990362585,0,0,0,0.0,0.0,0,0,Komunistická strana Čech a Moravy
2519,2016-10-07,1,3,768,Josef,Váňa,,,63.0,trenér a majitel stáje dostihových koní,Chyše,555207.0,99.0,768.0,A,5216,18.96,18.96934211004836,2,0,4148,33.82,33.82808677214157,0,0,ANO 2011
2520,2016-10-07,1,4,53,Jiří,Brdlík,MUDr.,,59.0,lékař,Karlovy Vary,554961.0,53.0,53.0,A,3759,13.67,13.67058224533585,0,0,0,0.0,0.0,0,0,Občanská demokratická strana
2521,2016-10-07,1,5,166,Jan,Horník,Ing.,,62.0,starosta Božího Daru a senátor,Boží Dar,506486.0,166.0,166.0,A,6451,23.46,23.46074117176419,2,0,8114,66.17,66.17191322785843,1,0,STAROSTOVÉ A NEZÁVISLÍ
2522,2016-10-07,1,6,5,Věra,Ježková,Ing.,,61.0,pracovnice Státního fondu životního prostředí ČR,Karlovy Vary,554961.0,99.0,5.0,A,855,3.1,3.10943011964941,0,0,0,0.0,0.0,0,0,Strana zelených
2523,2016-10-07,1,7,1129,Eduard,Frisch,,,53.0,"starosta obce, zkušební komisař zbraně a střelivo",Sadov,555533.0,1129.0,1129.0,A,1685,6.12,6.12794122995235,0,0,0,0.0,0.0,0,0,Sdružení nezávislých kandidátů 1
2524,2016-10-07,1,8,702,Jiří,Kotek,,,58.0,"manažer, zemědělský inženýr,opoziční zastup. města",Karlovy Vary,554961.0,702.0,702.0,A,2709,9.85,9.85198385278394,0,0,0,0.0,0.0,0,0,ALTERNATIVA
2525,2016-10-07,4,1,704,Alena,Dernerová,MUDr.,,58.0,lékařka - dětský neurolog,Most,567027.0,99.0,704.0,A,8134,36.66,36.66441289159341,2,0,6844,70.81,70.81220900155199,1,0,Severočeši.cz
2526,2016-10-07,4,2,769,Jiří Maria,Sieber,,,57.0,herec a majitel realitní kanceláře,Most,567027.0,769.0,769.0,A,1241,5.59,5.59386973180076,0,0,0,0.0,0.0,0,0,Řád národa
2527,2016-10-07,4,3,53,Libuše,Hrdinová,Mgr.,,49.0,ředitelka základní školy,Most,567027.0,53.0,53.0,A,1820,8.2,8.20374126662159,0,0,0,0.0,0.0,0,0,Občanská demokratická strana
2528,2016-10-07,4,4,1161,Oto,Zaremba,,,59.0,sportovní trenér a olympijský vítěz,Havířov,555088.0,156.0,9995.0,A,1339,6.03,6.03560964615731,0,0,0,0.0,0.0,0,0,"DSSS-NE imigrantům,PROTI nepřizpůsobivým,PRO pořád"
2529,2016-10-07,4,5,7,Jiří,Šlégr,,,45.0,sportovec-hokejista,Litvínov,567256.0,99.0,7.0,A,3644,16.42,16.42551273382916,2,0,2821,29.18,29.187790998448,0,0,Česká strana sociálně demokratická
2530,2016-10-07,4,6,47,Josef,Nétek,Ing.,,62.0,správce budov,Lom,567264.0,47.0,47.0,A,2542,11.45,11.45819247239125,0,0,0,0.0,0.0,0,0,Komunistická strana Čech a Moravy
