,DATUMVOLEB,OBVOD,CKAND,VSTRANA,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST,HLASY_K1,PROC_K1,URIZ_PR_K1,ZVOLEN_K1,LOS_K1,HLASY_K2,PROC_K2,URIZ_PR_K2,ZVOLEN_K2,LOS_K2,NAZEV_VS
588,1998-11-14,1,1,7,Edmund,Janisch,Ing.,,55.0,učitel Obch.akademie,Karlovy Vary,554961.0,7.0,7.0,A,6278,22.48,22.483257529635,2,0,7114,43.63,43.6334641805691,0,0,
589,1998-11-14,1,2,5,Marie,Tobolková,MUDr.,,58.0,dětská lékařka,Karlovy Vary,554961.0,5.0,5.0,A,3080,11.03,11.0303334168964,0,0,0,0.0,0.0,0,0,
590,1998-11-14,1,3,208,Zdeněk,Šmíd,Mgr.,,61.0,spisovatel,Karlovy Vary,554961.0,99.0,208.0,A,6048,21.66,21.6595638004512,0,0,0,0.0,0.0,0,0,
591,1998-11-14,1,4,53,Vladimír,Kulhánek,Mgr.,,59.0,senátor,Karlovy Vary,554961.0,53.0,53.0,A,8816,31.57,31.5725387673244,2,0,9190,56.37,56.3665358194308,1,0,
592,1998-11-14,1,5,47,Jaroslav,Borka,Mgr.,,46.0,asistent poslance,Karlovy Vary,554961.0,47.0,47.0,A,3701,13.25,13.2543064856928,0,0,0,0.0,0.0,0,0,
593,1998-11-14,4,1,7,Richard,Falbr,JUDr.,,58.0,předseda ČMKOS,Praha 6(bez Bubenče),500178.0,99.0,7.0,A,11609,41.55,41.5512366226421,2,0,9584,55.59,55.5948720923487,1,0,
594,1998-11-14,4,2,43,Andrej,Olejník,,,58.0,podnikatel,Bečov,567043.0,43.0,43.0,A,246,0.88,0.8804896381402,0,0,0,0.0,0.0,0,0,
595,1998-11-14,4,3,53,Jiří,Pešek,MUDr.,,56.0,lékař,Most,567027.0,53.0,53.0,A,5552,19.87,19.8718637030673,0,0,0,0.0,0.0,0,0,
596,1998-11-14,4,4,47,Vlastimil,Balín,RSDr.,,48.0,1.místopřed.ÚV KSČM,Most,567027.0,47.0,47.0,A,4856,17.38,17.3807222878413,0,0,0,0.0,0.0,0,0,
597,1998-11-14,4,5,80,Pavel,Weiss,Mgr.,,49.0,přednosta OÚ Most,Most,567027.0,99.0,80.0,A,5676,20.32,20.3156877483088,2,0,7655,44.41,44.4051279076512,0,0,
598,1998-11-14,7,1,53,Jaroslav,Jurečka,Ing.,,55.0,senátor,Plzeň,3.0,53.0,53.0,A,10881,27.62,27.6223598700243,2,0,8619,45.91,45.9067909454061,0,0,
599,1998-11-14,7,2,88,Světla,Brendlová,Mgr.,,59.0,ředitelka,Plzeň,3.0,99.0,88.0,A,1866,4.74,4.737002437043,0,0,0,0.0,0.0,0,0,
600,1998-11-14,7,3,208,Jiří,Skalický,Ing.,,42.0,politik,Praha,2.0,99.0,208.0,A,10047,25.51,25.5051787164906,2,0,10156,54.09,54.0932090545938,1,0,
601,1998-11-14,7,4,7,Jiří,Poděbradský,Ing.,,57.0,učitel,Dobřany,557676.0,7.0,7.0,A,9774,24.81,24.8121445978878,0,0,0,0.0,0.0,0,0,
602,1998-11-14,7,5,47,Ivana,Levá,,,48.0,učitelka,Starý Plzenec,558371.0,47.0,47.0,A,6824,17.32,17.323314378554,0,0,0,0.0,0.0,0,0,
603,1998-11-14,10,1,7,Karel,Vachta,Mgr.,,54.0,senátor,Český Krumlov,545392.0,7.0,7.0,A,9445,25.58,25.5767980935875,2,0,8312,47.17,47.1709891606605,0,0,
604,1998-11-14,10,2,80,Zdeněk,Troup,PhDr.,,43.0,správce kláštera,Český Krumlov,545392.0,13.0,80.0,A,3973,10.76,10.7587738301559,0,0,0,0.0,0.0,0,0,
605,1998-11-14,10,3,47,Viliam,Koršala,,,52.0,soukromý podnikatel,Horní Planá,545511.0,47.0,47.0,A,5102,13.82,13.8160745233968,0,0,0,0.0,0.0,0,0,
606,1998-11-14,10,4,101,Emanuel,Mimra,,,47.0,rentgenový laborant,Volary,550671.0,101.0,101.0,N,0,0.0,0.0,0,0,0,0.0,0.0,0,0,
607,1998-11-14,10,5,208,Zdeněk,Štěpán,Ing.,,58.0,strojní inženýr,Český Krumlov,545392.0,99.0,208.0,A,6389,17.3,17.3012348353552,0,0,0,0.0,0.0,0,0,
608,1998-11-14,10,6,53,Martin,Dvořák,MUDr.,,50.0,dětský lékař,Český Krumlov,545392.0,53.0,53.0,A,12019,32.55,32.5471187175043,2,0,9309,52.83,52.8290108393394,1,0,
609,1998-11-14,13,1,105,Lubor,Tůma,MUDr.,,43.0,lékař,Tábor,552046.0,99.0,105.0,A,3113,7.71,7.713082259663,0,0,0,0.0,0.0,0,0,
610,1998-11-14,13,2,53,Pavel,Eybert,Mgr.,,49.0,starosta a senátor,Chýnov,552496.0,53.0,53.0,A,14897,36.91,36.910307234886,2,0,12562,59.52,59.5214404169628,1,0,
611,1998-11-14,13,3,88,Jaromír,Grumlík,,,47.0,prac.soc.odb.společ.,Prostějov,1.0,99.0,88.0,N,0,0.0,0.0,0,0,0,0.0,0.0,0,0,
612,1998-11-14,13,4,47,Ivan,Nadberežný,,,47.0,soukromý podnikatel,České Budějovice,1.0,47.0,47.0,A,6750,16.72,16.7244796828543,0,0,0,0.0,0.0,0,0,
