,DATUMVOLEB,OBVOD,CKAND,VSTRANA,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST,HLASY_K1,PROC_K1,URIZ_PR_K1,ZVOLEN_K1,LOS_K1,HLASY_K2,PROC_K2,URIZ_PR_K2,ZVOLEN_K2,LOS_K2,NAZEV_VS
2778,2018-10-05,2,1,47,Eva,Valjentová,Ing.,,54.0,"referentka, personalistka",Sokolov,560286.0,47.0,47.0,A,2332,8.94,8.94206066183519,0,0,0,0.0,0.0,0,0,Komunistická strana Čech a Moravy
2779,2018-10-05,2,2,759,Jan,Teplík,,,66.0,horník,Planá,561134.0,99.0,759.0,A,410,1.57,1.57214617124889,0,0,0,0.0,0.0,0,0,Česká Suverenita
2780,2018-10-05,2,3,40,Stanislav,Pochman,,,54.0,výrobní dispečer,Chodov,560383.0,40.0,40.0,A,1001,3.83,3.83833735956133,0,0,0,0.0,0.0,0,0,Klub angažovaných nestraníků
2781,2018-10-05,2,4,166,Miroslav,Balatka,Ing.,,48.0,"zeměměřič, živnostník, organizátor, hudebník",Sokolov,560286.0,99.0,166.0,A,7497,28.74,28.74726791671459,2,0,6902,59.47,59.47436449806118,1,0,STAROSTOVÉ A NEZÁVISLÍ
2782,2018-10-05,2,5,1114,Petr,Nimrichter,,,53.0,"elektrotechnik, jednatel společnosti",Karlovy Vary,554961.0,1114.0,1114.0,A,1553,5.95,5.95498293646228,0,0,0,0.0,0.0,0,0,Svoboda a přímá demokracie - Tomio Okamura (SPD)
2783,2018-10-05,2,6,768,Renata,Oulehlová,,,50.0,"místostarostka, zakladatelka DC Střípky a DH Motýl",Sokolov,560286.0,768.0,768.0,A,6708,25.72,25.72184516277464,2,0,4703,40.52,40.52563550193881,0,0,ANO 2011
2784,2018-10-05,2,7,769,Josef,Zickler,,,62.0,OSVČ,Sokolov,560286.0,769.0,769.0,A,1172,4.49,4.49403734805782,0,0,0,0.0,0.0,0,0,Řád národa - Vlastenecká unie
2785,2018-10-05,2,8,7,Jan,Picka,Bc.,,52.0,starosta města Sokolov,Sokolov,560286.0,7.0,7.0,A,4588,17.59,17.59269910656083,0,0,0,0.0,0.0,0,0,Česká strana sociálně demokratická
2786,2018-10-05,2,9,80,Jiří,Korbel,,,49.0,operátor výroby,Sokolov,560286.0,99.0,80.0,A,818,3.13,3.13662333678438,0,0,0,0.0,0.0,0,0,Nezávislý kandidát
2787,2018-10-05,5,1,768,Martina,Chodacká,MUDr.,,54.0,primářka onkologie,Jirkov,563099.0,99.0,768.0,A,6770,21.35,21.35511955081698,2,0,4556,37.47,37.47018669298462,0,0,ANO 2011
2788,2018-10-05,5,2,80,Petr,Jano,,,58.0,duchovní učitel,Praha,554782.0,99.0,80.0,A,581,1.83,1.83269194372594,0,0,0,0.0,0.0,0,0,Nezávislý kandidát
2789,2018-10-05,5,3,1187,Přemysl,Rabas,MVDr.,,55.0,ředitel zoologické zahrady,Blatno,562998.0,99.0,1187.0,A,10626,33.51,33.51839000693962,2,0,7603,62.52,62.52981330701537,1,0,SENÁTOR 21
2790,2018-10-05,5,4,80,Roman,Brand,Ing.,MBA,54.0,"starosta, manažer",Spořice,563340.0,99.0,80.0,A,2612,8.23,8.23922780897104,0,0,0,0.0,0.0,0,0,NEZÁVISLÝ KANDIDÁT
2791,2018-10-05,5,5,53,Jaroslav,Zahrádka,Mgr.,,54.0,ředitel gymnázia,Chomutov,562971.0,53.0,53.0,A,3515,11.08,11.08762854078607,0,0,0,0.0,0.0,0,0,Občanská demokratická strana
2792,2018-10-05,5,6,1114,Elvíra,Hahnová,Bc.,,41.0,"pěstounka (dlouhodobá péče), ředitelka obecně pr.s",Chomutov,562971.0,1114.0,1114.0,A,1614,5.09,5.09116144091855,0,0,0,0.0,0.0,0,0,Svoboda a přímá demokracie - Tomio Okamura (SPD)
2793,2018-10-05,5,7,47,Václav,Homolka,PaedDr.,,63.0,"učitel, senátor",Klášterec nad Ohří,563129.0,47.0,47.0,A,3065,9.66,9.66815973755599,0,0,0,0.0,0.0,0,0,Komunistická strana Čech a Moravy
2794,2018-10-05,5,8,7,Jaroslav,Krákora,MUDr.,,62.0,dětský lékař,Chomutov,562971.0,7.0,7.0,A,1637,5.16,5.1637120686392,0,0,0,0.0,0.0,0,0,Česká strana sociálně demokratická
2795,2018-10-05,5,9,785,Ota,Staňo,MUDr.,,61.0,lékař - ortoped,Chomutov,562971.0,785.0,785.0,A,1282,4.04,4.04390890164658,0,0,0,0.0,0.0,0,0,PRO Zdraví a Sport
2796,2018-10-05,8,1,47,Zdeněk,Chýnovský,,,54.0,technik,Horní Bříza,558885.0,47.0,47.0,A,5360,12.05,12.05876397669238,0,0,0,0.0,0.0,0,0,Komunistická strana Čech a Moravy
2797,2018-10-05,8,2,53,Pavel,Karpíšek,Ing. Mgr.,,48.0,starosta obce Vejprnice,Vejprnice,559580.0,53.0,53.0,A,12694,28.55,28.5585727462935,2,0,11120,68.38,68.38447819937274,1,0,Občanská demokratická strana
2798,2018-10-05,8,3,7,Milada,Emmerová,Doc. MUDr.,CSc.,73.0,senátorka parlamentu ČR,Plzeň,554791.0,7.0,7.0,A,7019,15.79,15.79113140903057,2,0,5141,31.61,31.61552180062726,0,0,Česká strana sociálně demokratická
2799,2018-10-05,8,4,768,Lucie,Groene,,,49.0,"režisérka, scénáristka a novinářka",Praha,554782.0,99.0,768.0,A,6767,15.22,15.22418952057414,0,0,0,0.0,0.0,0,0,ANO 2011
2800,2018-10-05,8,5,1114,David,Redl,Mgr.,,46.0,klinický perfuziolog kardiochirurgie  FN Plzeň,Hrádek,559822.0,99.0,1114.0,A,4372,9.83,9.83599181083938,0,0,0,0.0,0.0,0,0,Svoboda a přímá demokracie - Tomio Okamura (SPD)
2801,2018-10-05,8,6,720,Zdeněk,Hess,MUDr.,Ph.D.,45.0,lékař,Drmoul,554511.0,720.0,720.0,A,5339,12.01,12.01151881932101,0,0,0,0.0,0.0,0,0,Česká pirátská strana
2802,2018-10-05,8,7,1431,Martin,Uhlíř,Ing.,MBA,42.0,marketingový specialista,Praha 10,500224.0,99.0,721.0,A,2374,5.34,5.34095255236338,0,0,0,0.0,0.0,0,0,Koalice TOP 09 a LES
2803,2018-10-05,8,8,1217,Michal,Drabík,,,63.0,živnostník,Plzeň 1,545970.0,99.0,1217.0,A,524,1.17,1.17887916488559,0,0,0,0.0,0.0,0,0,Moravská a Slezská pirátská strana
2804,2018-10-05,11,1,53,Vladislav,Vilímec,Ing.,,55.0,náměstek hejtmana Plzeňského kraje,Kdyně,553786.0,53.0,53.0,A,9142,21.49,21.49187765944942,2,0,9408,52.59,52.59979872525997,1,0,Občanská demokratická strana
2805,2018-10-05,11,2,720,Viktor,Krutina,Ing.,,40.0,projektant,Domažlice,553425.0,720.0,720.0,A,5198,12.21,12.21994969085737,0,0,0,0.0,0.0,0,0,Česká pirátská strana
2806,2018-10-05,11,3,7,Jan,Látka,,,64.0,senátor,Domažlice,553425.0,7.0,7.0,A,9136,21.47,21.47777229235724,2,0,8478,47.4,47.40020127474002,0,0,Česká strana sociálně demokratická
