,DATUMVOLEB,OBVOD,CKAND,VSTRANA,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST,HLASY_K1,PROC_K1,URIZ_PR_K1,ZVOLEN_K1,LOS_K1,HLASY_K2,PROC_K2,URIZ_PR_K2,ZVOLEN_K2,LOS_K2,NAZEV_VS
2272,2014-10-10,3,1,724,Jaroslav,Bradáč,Ing.,,59.0,technik,Skalná,554812.0,724.0,724.0,A,1092,3.53,3.53203739043244,0,0,0,0.0,0.0,0,0,Strana Práv Občanů
2273,2014-10-10,3,2,768,Jiří,Dufka,Ing.,,53.0,zemědělský podnikatel,Chodský Újezd,560910.0,768.0,768.0,A,6759,21.86,21.86175890286897,2,0,5336,44.64,44.64524765729585,0,0,ANO 2011
2274,2014-10-10,3,3,714,Václav,Jakl,Ing.,,59.0,"živnostník - reklama, propagace, DTP",Cheb,554481.0,714.0,714.0,A,1529,4.94,4.94549923990037,0,0,0,0.0,0.0,0,0,Strana svobodných občanů
2275,2014-10-10,3,4,47,Pavel,Hojda,Ing.,,61.0,oborový specialista,Cheb,554481.0,47.0,47.0,A,4379,14.16,14.16372869295209,0,0,0,0.0,0.0,0,0,Komunistická strana Čech a Moravy
2276,2014-10-10,3,5,720,Libor,Špaček,,"BSc.,MSc.,Ph.D.",62.0,vysokoškolský vědecký pracovník,Prostiboř,541486.0,720.0,720.0,A,1821,5.88,5.88996345052883,0,0,0,0.0,0.0,0,0,Česká pirátská strana
2277,2014-10-10,3,6,659,Vítězslav,Padevět,RNDr.,,56.0,ředitel firmy,Velká Hleďsebe,539279.0,721.0,721.0,A,2181,7.05,7.05437138144063,0,0,0,0.0,0.0,0,0,TOP 09 a Starostové
2278,2014-10-10,3,7,7,Miroslav,Nenutil,Mgr.,,56.0,senátor,Stříbro,561215.0,7.0,7.0,A,8784,28.41,28.41155351424782,2,0,6616,55.35,55.35475234270414,1,0,Česká strana sociálně demokratická
2279,2014-10-10,3,8,53,Jaroslav,Kočvara,RNDr. Ing.,,59.0,ředitel gymnázia,Cheb,554481.0,53.0,53.0,A,4372,14.14,14.14108742762881,0,0,0,0.0,0.0,0,0,Občanská demokratická strana
2280,2014-10-10,6,1,47,Eva,Kašová,MUDr.,,62.0,lékařka,Rakovník,541656.0,99.0,47.0,A,6116,14.76,14.76652663093341,0,0,0,0.0,0.0,0,0,Komunistická strana Čech a Moravy
2281,2014-10-10,6,2,80,Jiří,Loskot,,,58.0,"podnikatel, předseda Svazku obcí",Mšec,542105.0,166.0,80.0,A,1819,4.39,4.39181032401371,0,0,0,0.0,0.0,0,0,Nezávislí kandidáti
2282,2014-10-10,6,3,768,Zdeňka,Hamousová,Mgr.,,53.0,starostka města Žatec,Žatec,566985.0,99.0,768.0,A,10685,25.79,25.7979622386402,2,0,10837,52.31,52.31979915994785,1,0,ANO 2011
2283,2014-10-10,6,4,1036,Ivo,Trešl,MUDr.,,42.0,chirurg - traumatolog,Rakovník,541656.0,1036.0,1036.0,A,3945,9.52,9.52484427060698,0,0,0,0.0,0.0,0,0,Město pro vás
2284,2014-10-10,6,5,1077,Leo,Steiner,Mgr.,,43.0,"učitel, manažer",Louny,565971.0,99.0,1.0,A,2278,5.5,5.50002414409194,0,0,0,0.0,0.0,0,0,Pro! Leo
2285,2014-10-10,6,6,88,Vladimír,Záhorský,MUDr.,,61.0,dětský lékař,Podbořany,566616.0,99.0,88.0,A,1306,3.15,3.15321840745569,0,0,0,0.0,0.0,0,0,NEZÁVISLÍ
2286,2014-10-10,6,7,7,Marcel,Chládek,PhDr.,MBA,46.0,senátor,Rakovník,541656.0,7.0,7.0,A,11134,26.88,26.88203196677772,2,0,9876,47.68,47.68020084005214,0,0,Česká strana sociálně demokratická
