,DATUMVOLEB,OBVOD,CKAND,VSTRANA,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST,HLASY_K1,PROC_K1,URIZ_PR_K1,ZVOLEN_K1,LOS_K1,HLASY_K2,PROC_K2,URIZ_PR_K2,ZVOLEN_K2,LOS_K2,NAZEV_VS
1128,2004-11-05,1,1,80,Václav,Lupínek,Ing.,CSc.,50.0,Čl. doz. rady Jan Becher a.s.,Karlovy Vary,554961.0,53.0,80.0,A,3767,16.47,16.47712361123261,0,0,0,0.0,0.0,0,0,Nezávislí kandidáti
1129,2004-11-05,1,2,53,Václav,Heřman,,,54.0,starosta města Nová Role,Nová Role,555398.0,53.0,53.0,A,4770,20.86,20.86431633277928,2,0,5925,41.81,41.81664196485284,0,0,Občanská demokratická strana
1130,2004-11-05,1,3,143,Jan,Horník,Ing.,,50.0,Starosta obce,Boží Dar,506486.0,99.0,143.0,A,4859,21.25,21.25360860817076,2,0,8244,58.18,58.18335803514715,1,0,Evropští demokraté
1131,2004-11-05,1,4,88,Jan,Knára,MUDr.,,63.0,lékař,Karlovy Vary,554961.0,99.0,88.0,A,1061,4.64,4.64088881112763,0,0,0,0.0,0.0,0,0,NEZÁVISLÍ
1132,2004-11-05,1,5,7,Michael,Kuneš,,,49.0,místostarosta,Jáchymov,555215.0,7.0,7.0,A,1943,8.49,8.49881900096229,0,0,0,0.0,0.0,0,0,Česká strana sociálně demokratická
1133,2004-11-05,1,6,47,Jaroslav,Borka,Mgr.,,52.0,asistent poslance,Karlovy Vary,554961.0,47.0,47.0,A,3785,16.55,16.55585688041291,0,0,0,0.0,0.0,0,0,Komunistická strana Čech a Moravy
1134,2004-11-05,1,7,137,Milan,Křimský,,,43.0,státní zaměstnanec,Andělská Hora,538001.0,99.0,137.0,A,721,3.15,3.15370483772198,0,0,0,0.0,0.0,0,0,Strana zdravého rozumu
1135,2004-11-05,1,8,1,Pavla,Andrejkivová,,,58.0,ředitelka farní charity,Karlovy Vary,554961.0,1.0,1.0,A,1647,7.2,7.20409412999737,0,0,0,0.0,0.0,0,0,Křesťan.a demokrat.unie-Českosl.strana lidová
1136,2004-11-05,1,9,24,Radan,Večerka,JUDr.,,44.0,podnikatel,Karlovy Vary,554961.0,99.0,24.0,A,309,1.35,1.35158778759513,0,0,0,0.0,0.0,0,0,Konzervativní strana
1137,2004-11-05,1,10,134,,,,,,,,,99.0,134.0,E,0,0.0,0.0,0,0,0,0.0,0.0,0,0,"""Sebeobrana voličů"""
1138,2004-11-05,4,1,88,Tomáš,Matějovský,,,41.0,PR Manager,Most,567027.0,88.0,88.0,A,1153,5.96,5.96698235263675,0,0,0,0.0,0.0,0,0,NEZÁVISLÍ
1139,2004-11-05,4,2,47,Vlastimil,Balín,RSDr.,,54.0,politický pracovník,Most,567027.0,47.0,47.0,A,5236,27.09,27.09724162914661,2,0,7894,52.42,52.42744238560138,1,0,Komunistická strana Čech a Moravy
1140,2004-11-05,4,3,129,Karel,Zdražil,PaedDr.,,59.0,starosta města,Litvínov,567256.0,129.0,129.0,A,1444,7.47,7.47295968534906,0,0,0,0.0,0.0,0,0,SNK sdružení nezávislých
1141,2004-11-05,4,4,7,Petr,Červenka,,,54.0,starosta,Meziboří,567311.0,7.0,7.0,A,3828,19.81,19.81058841794752,0,0,0,0.0,0.0,0,0,Česká strana sociálně demokratická
1142,2004-11-05,4,5,137,Olga,Procházková,,,50.0,manažerka,Most,567027.0,99.0,137.0,A,429,2.22,2.22015215028722,0,0,0,0.0,0.0,0,0,Strana zdravého rozumu
1143,2004-11-05,4,6,53,Hana,Jeníčková,JUDr.,,55.0,náměstkyně primátora,Most,567027.0,53.0,53.0,A,4608,23.84,23.84722869119701,2,0,7163,47.57,47.57255761439861,0,0,Občanská demokratická strana
1144,2004-11-05,4,7,134,,,,,,,,,99.0,134.0,E,0,0.0,0.0,0,0,0,0.0,0.0,0,0,"""Sebeobrana voličů"""
1145,2004-11-05,4,8,80,Josef,Pešek,,,48.0,podnikatel,Žatec,566985.0,99.0,80.0,E,0,0.0,0.0,0,0,0,0.0,0.0,0,0,Nezávislí kandidáti
1146,2004-11-05,4,9,1,Pavel,Weiss,Mgr.,,55.0,náměstek primátora,Most,567027.0,99.0,1.0,A,2625,13.58,13.5848470734358,0,0,0,0.0,0.0,0,0,Křesťan.a demokrat.unie-Českosl.strana lidová
1147,2004-11-05,7,1,1,Jiří,Vačkář,Ing.,,60.0,ředitel odboru MZ,Sedlice,564630.0,1.0,1.0,A,3097,10.68,10.68188873176283,0,0,0,0.0,0.0,0,0,Křesťan.a demokrat.unie-Českosl.strana lidová
1148,2004-11-05,7,2,53,Jiří,Šneberger,Ing.,,44.0,primátor Města Plzně,Plzeň,2.0,53.0,53.0,A,14650,50.52,50.52943814024074,1,0,0,0.0,0.0,0,0,Občanská demokratická strana
1149,2004-11-05,7,3,47,Zdeňka,Hornofová,RSDr.,,57.0,politická pracovnice,Plzeň,2.0,47.0,47.0,A,4675,16.12,16.12458179560583,0,0,0,0.0,0.0,0,0,Komunistická strana Čech a Moravy
1150,2004-11-05,7,4,7,Milada,Emmerová,Doc. MUDr.,CSc.,60.0,lékařka,Plzeň,2.0,7.0,7.0,A,4882,16.83,16.83854723553961,0,0,0,0.0,0.0,0,0,Česká strana sociálně demokratická
1151,2004-11-05,7,5,337,Jan,Novák,,,50.0,technik,Plzeň,2.0,99.0,134.0,E,0,0.0,0.0,0,0,0,0.0,0.0,0,0,Vaším hlasem podpoříte zdravotnictví kraje
1152,2004-11-05,7,6,88,Václav,Havlík,JUDr.,,63.0,ředitel ČOI,Plzeň,2.0,99.0,88.0,A,1689,5.82,5.82554409685096,0,0,0,0.0,0.0,0,0,NEZÁVISLÍ
1153,2004-11-05,10,1,47,Miloslav,Šimánek,,,56.0,starosta obce,Benešov nad Černou,545406.0,99.0,47.0,A,4952,18.48,18.48864994026284,2,0,5505,28.48,28.48494256442098,0,0,Komunistická strana Čech a Moravy
1154,2004-11-05,10,2,55,Jaromír,Grumlík,,,53.0,prezident odborového společen,Kamenná,535982.0,99.0,55.0,E,0,0.0,0.0,0,0,0,0.0,0.0,0,0,"Koruna Česká (monar.strana Čech, Moravy a Slezska)"
1155,2004-11-05,10,3,7,Karel,Vachta,Mgr.,,60.0,náměstek hejtmana,Český Krumlov,545392.0,7.0,7.0,A,4602,17.18,17.18189964157706,0,0,0,0.0,0.0,0,0,Česká strana sociálně demokratická
1156,2004-11-05,10,4,1,Jan,Vondrouš,Ing.,,51.0,podnikatel,Český Krumlov,545392.0,1.0,1.0,A,3655,13.64,13.64620669056152,0,0,0,0.0,0.0,0,0,Křesťan.a demokrat.unie-Českosl.strana lidová
